Code;Libellé;Population au dernier recensement 2016;Variation annuelle de la population 2016-2022;Taux de mortalité 2016-2022;Taux de natalité 2016-2022;Nombre de 15-29 ans 2016;Nombre de moins de 15 ans 2016;Nombre de 30-44 ans 2016;Nombre de 45-59 ans 2016;Nombre de 60-74 ans 2016;Nombre de 75-79 ans 2016;Nombre de 80-84 ans 2016;Nombre de 85-89 ans 2016;Nombre de 90 ans et plus 2016;Indice de vieillissement 2016;Indice de jeunesse 2016;Indicateur de dépendance économique 2016;Taille moyenne des ménages 2016;"Nombre d'établissements par secteurs d'activité 2020_x000d_
Ensemble";"Nombre d'établissements par secteurs d'activité 2020_x000d_
Industrie";"Nombre d'établissements par secteurs d'activité 2020_x000d_
Agriculture, sylviculture, pêche";"Nombre d'établissements par secteurs d'activité 2020_x000d_
Construction";"Nombre d'établissements par secteurs d'activité 2020_x000d_
Commerce, transports et services divers";"Nombre d'établissements par secteurs d'activité 2020_x000d_
Administration publique, enseignement, santé et action sociale";"Nombre de postes salariés par secteurs d'activité 2020_x000d_
Agriculture, sylviculture, pêche";"Nombre de postes salariés par secteurs d'activité 2020_x000d_
Industrie";"Nombre de postes salariés par secteurs d'activité 2020_x000d_
Construction";"Nombre de postes salariés par secteurs d'activité 2020_x000d_
Commerce, transports et services divers";"Nombre de postes salariés par secteurs d'activité 2020_x000d_
Administration publique, enseignement, santé et action sociale";"Nombre de postes salariés par secteurs d'activité 2020_x000d_
Ensemble";"Nombre de chômeurs de 15-64 ans 2016_x000d_
Ensemble";"Taux de chômage des 15-64 ans (RP) 2016_x000d_
Ensemble";"Nombre de personnes en âge de travailler (15-64 ans) 2016_x000d_
Ensemble";"Nombre d'actifs de 15-64 ans 2016_x000d_
Ensemble";"Nombre d'inactifs de 15-64 ans 2016_x000d_
Ensemble";"Nombre d'actifs occupés de 15-64 ans 2016_x000d_
Ensemble";Nombre d'emplois au lieu de travail 2016;Nombre annuel moyen de logements commencés (constructions neuves) 2015-2019;Surface moyenne des logements commencés (constructions neuves) 2015-2019;"Type d'occupation des logements 2016_x000d_
Occupation dans la norme";"Type d'occupation des logements 2016_x000d_
Sur-occupation";"Type d'occupation des logements 2016_x000d_
Sur-occupation-modéré";"Type d'occupation des logements 2016_x000d_
Sur-occupation accentuée";"Type d'occupation des logements 2016_x000d_
Sous-occupation...9";"Type d'occupation des logements 2016_x000d_
Sous-occupation...10";"Type d'occupation des logements 2016_x000d_
Sous-occupation accentuée";"Type d'occupation des logements 2016_x000d_
Sous-occupation très accentuée";Nombre de logements commencés (constructions neuves) par an pour 1 000 habitants 2015-2019;Part des déplacements domicile-travail en voiture 2016.x;Part des revenus d'activité 2021;Médiane du revenu disponible par UC 2021;Taux de pauvreté (seuil à 60% du revenu médian) 2021;Part des déplacements domicile-travail en transports en commun 2016;Part des déplacements domicile-travail en deux roues 2016;Part des déplacements domicile-travail en voiture 2016.y
75056;Paris;2190327;-12770;6,7;12,6;513225;307204;490373;402119;307682;60858;49409;34980;24478;86;88;69;1,9;176458;4644;117;7674;152093;11930;647;57075;37390;1248730;476453;1820295;143255;12,1;1522353;1186864;335489;1043608;1803024;3064,6;53,3;36,9;32,3;29,0;3,3;18,2;30,8;7,8;4,8;1,4;11,6;86,9;29730;16;64,5;8,9;11,6
77001;Achères-la-Forêt;1139;7;5,0;8,2;177;198;204;321;156;31;25;17;7;63;116;82;2,5;36;3;4;6;17;6;5;4;14;61;34;118;46;7,5;769;611;158;565;199;2,2;173,3;8,8;4,5;4,5;0,0;12,1;86,7;26,3;48,3;2,0;82,5;NA;30970;NA;6,7;2,0;82,5
77002;Amillis;819;0;13,6;13,0;104;149;165;180;138;10;22;27;23;83;88;103;2,4;33;2;4;9;12;6;6;5;68;39;70;188;33;8,5;509;389;120;356;237;0,2;92,0;13,6;4,5;4,5;0,0;16,7;81,8;19,7;45,5;0,2;84,1;NA;26310;NA;2,9;0,0;84,1
77003;Amponville;351;0;9,0;8,5;59;45;67;102;56;10;7;4;1;74;88;72;2,4;10;1;1;2;3;3;1;0;22;3;8;34;11;5,2;255;210;45;199;63;1,8;122,4;6,9;0,0;0,0;0,0;20,7;93,1;27,6;44,8;5,1;74,4;NA;28400;NA;7,7;0,0;74,4
77004;Andrezel;285;7;9,9;22,4;40;41;45;77;69;4;4;3;2;85;65;90;2,4;14;0;2;3;7;2;3;0;6;12;4;25;7;4,8;199;146;53;139;41;NA;NA;4,0;0,0;0,0;0,0;20,0;96,0;24,0;52,0;NA;76,7;NA;28400;NA;16,7;0,0;76,7
77005;Annet-sur-Marne;3259;12;7,4;9,8;528;727;748;703;382;49;45;43;34;41;169;84;2,6;67;3;1;14;42;7;1;16;74;200;176;467;131;7,6;2151;1730;421;1599;508;8,6;86,1;16,5;8,1;7,3;0,8;19,8;75,4;19,8;35,9;2,6;86,1;92,1;29060;NA;8,1;1,5;86,1
77006;Arbonne-la-Forêt;1011;-1;25,9;8,4;146;177;144;267;156;27;35;28;31;92;86;105;2,4;34;1;2;5;19;7;1;8;15;54;134;212;40;8,5;614;469;145;429;234;1,6;113,9;12,8;6,4;2,6;3,8;21,8;80,8;10,3;48,7;1,6;83,2;NA;31050;NA;5,2;4,1;83,2
77007;Argentières;387;-6;7,7;9,9;72;73;79;88;52;7;8;2;4;56;141;85;2,7;7;0;1;3;2;1;2;0;9;4;2;17;10;5,0;255;201;54;191;27;NA;NA;10,5;0,0;0,0;0,0;17,4;89,5;25,1;47,0;NA;89,0;NA;28190;NA;8,2;0,0;89,0
77008;Armentières-en-Brie;1250;-9;3,8;15,7;243;364;265;199;134;18;12;12;3;24;265;110;3,4;7;0;1;1;3;2;2;0;2;14;16;34;90;17,8;771;507;264;418;58;NA;NA;14,6;6,4;5,2;1,2;25,1;79,0;21,0;32,8;NA;63,9;NA;20940;NA;24,6;2,6;63,9
77009;Arville;125;3;6,3;12,6;18;21;28;20;28;2;2;4;2;104;66;102;2,2;7;1;3;2;1;0;4;1;3;10;0;18;4;6,6;78;61;17;57;47;NA;NA;18,2;0,0;0,0;0,0;18,2;81,8;27,3;36,4;NA;66,7;NA;25060;NA;22,2;0,0;66,7
