code_commune,conso_totale_agriculture,conso_totale_inconnu,conso_totale_industrie,conso_totale_residentiel,conso_totale_tertiaire,conso_totale_secteur_tous,nb_sites_agriculture,nb_sites_inconnu,nb_sites_industrie,nb_sites_residentiel,nb_sites_tertiaire,nb_sites_secteur_tous
75056,4245.0817032586565,335555.83295203536,563229.2067710224,4138769.441101036,8067498.864050951,13109298.426578304,176,41198,9899,1367887,220364,1639524
77001,0,108.83006320523565,0,5514.130636134794,1310.7211677326559,6933.681867072686,0,9,0,580,42,631
77002,174.51616267052975,0,1645.4219327008534,2548.6091200875167,1249.358822695051,5617.906038153951,12,0,10,356,46,424
77003,0,0,124.80848391881631,1510.4895577759974,169.46000187723882,1804.7580435720524,0,0,2,176,19,197
77004,122.24571338014248,0,1313.7165279445544,1139.6361839559045,110.23157929371338,2685.8300045743144,4,0,1,125,9,139
77006,54.75334755234558,129.97480259544793,0,3778.916218199871,1419.1520273774122,5382.796395725077,5,7,0,451,27,490
77007,23.702139571213117,NA,NA,1357.4891744717315,29.83268596895525,1411.0240000119,1,NA,NA,152,1,154
77008,70.7561858192554,0,NA,2937.29172935813,329.93583731868125,3337.9837524960667,3,0,NA,385,25,413
77009,373.7719446766846,NA,56.81316666666666,445.4156214420587,160.40108642872556,1036.4018192141357,5,NA,1,58,11,75
77010,310.9401546058091,0,1719.9089934194733,3203.819776835805,1119.3746665995664,6354.043591460653,15,0,10,387,48,460
77011,196.21498294308196,174.8481400083041,88.16303077234183,1840.4514029030809,214.9496282225313,2514.62718484934,3,8,4,232,21,268
77012,68.47936697368402,0,NA,996.8751529930112,2622.3826105928183,3687.7371305595134,1,0,NA,126,13,140
77013,1348.1869736617246,0,0,1547.1188467542886,133.81927015410915,3029.1250905701227,7,0,0,154,17,178
77015,0,0,NA,343.4034837281935,0,343.4034837281935,0,0,NA,51,0,51
77016,154.51987299694426,147.56470990401434,96653.18070092279,3340.2339556964184,1503.5333847936006,101799.03262431377,2,13,4,766,83,868
77018,0,360.5915028768737,5338.419279526984,17776.840970790156,93524.41875332076,117000.27050651477,0,146,40,3027,306,3519
77019,88.5919895501059,0,1014.039999209678,1054.900514963986,90.26875432533254,2247.801258049102,5,0,3,161,12,181
77020,159.67923079785055,0,1467.9856666666665,2597.010101875332,365.7991857922028,4590.474185132051,2,0,2,279,25,308
77021,0,NA,228.23911876245637,531.4940458782615,226.67954769252316,986.412712333241,0,NA,1,71,11,83
77022,387.3898224372591,173.0527499090575,289.7255365661554,7003.791399732509,2536.25715622899,10390.216664873971,9,20,9,864,130,1032
77023,0,0,NA,818.9876013308989,73.7945662484989,892.7821675793978,0,0,NA,109,6,115
77024,168.29499418357594,NA,NA,1191.109252461095,816.8422687244617,2176.246515369133,11,NA,NA,140,16,167
77025,32.98808248368769,81.0667007801614,118.5925,2655.483137409798,255.9059324777922,3144.0363531514395,10,3,1,418,29,461
77026,130.55238269475961,103.4659565889495,0,1114.2857110278244,628.0982150691485,1976.402265380682,10,8,0,161,14,193
77027,471.8382391706782,0,204.4058715916178,3741.124747636454,937.9326123312405,5355.30147072999,16,0,6,526,53,601
