ninsee,transport_autoroute,transport_départementale,transport_nationale,transport_autres_routes,transport_total_général
75101,0,0,0,15205.44515455652,15205.44515455652
75102,0,0,0,4783.3065641522635,4783.3065641522635
75103,0,0,0,9239.65947475536,9239.65947475536
75104,0,0,0,13219.67295224948,13219.67295224948
75105,0,0,0,14521.784248794129,14521.784248794129
75106,0,0,0,16624.596653836543,16624.596653836543
75107,0,0,0,25010.692422056654,25010.692422056654
75108,0,0,0,28697.320389153472,28697.320389153472
75109,0,0,0,18971.445446536596,18971.445446536596
75110,0,0,0,22766.190205650164,22766.190205650164
75111,0,0,0,23345.76228031044,23345.76228031044
75112,1674.6364823893773,1462.083427148978,0,57563.73971648234,60700.459626020696
75113,626.1242743780722,43.62771373368784,0,39610.46309439357,40280.215082505325
75114,1283.9806614323677,340.9312232308766,0,38453.91353485063,40078.82541951387
75115,0,283.0151909870021,0,54731.21478146645,55014.22997245345
75116,2175.1832539739207,3209.1434329476656,0,99220.46760847229,104604.79429539386
75117,0,40.3483927554753,0,45571.77482878662,45612.1232215421
75118,1571.4420718736662,35.41725113876895,0,32117.410889711908,33724.27021272434
75119,0,304.21801318738403,0,36762.90166421346,37067.11967740084
75120,1150.787551927908,88.315166371312,0,34584.5067003366,35823.60941863582
77001,2526.83393241999,8761.454349673948,0,0,11288.288282093938
77002,0,9385.94713329643,0,2994.475958757036,12380.423092053465
77003,0,8277.535382301281,0,0,8277.535382301281
77004,0,6932.586404819081,0,2053.816778250098,8986.403183069178
77005,0,14478.162761878108,0,1126.3645716226758,15604.527333500784
77006,3716.1139190343906,8697.595542147892,0,3814.124179093907,16227.833640276192
77007,0,1336.6108958182697,0,800.347017531597,2136.9579133498664
77008,0,5121.201210075152,0,2301.9545318634237,7423.155741938576
77009,0,3389.5051236580957,0,1753.687330989478,5143.192454647574
77010,0,16476.566634961073,0,5282.4950029280835,21759.061637889157
77011,0,12673.732682236052,0,1036.836573905425,13710.569256141476
77012,0,7536.352137232912,0,0,7536.352137232912
77013,0,6142.520616656862,0,1545.4854251594682,7688.006041816329
77014,0,3831.24736498246,0,5340.937208028373,9172.184573010833
77015,0,1854.132086945765,0,2743.3465759211617,4597.478662866926
77016,0,6135.647915661932,0,2328.039789683622,8463.687705345554
77018,2569.52696616895,5173.990372864619,0,3471.236937752572,11214.75427678614
77019,0,9857.651936267333,0,1265.458897326457,11123.110833593788
77020,0,11689.256835740627,3522.668945685831,0,15211.92578142646
77021,0,2015.359453549077,0,0,2015.359453549077
77022,0,4397.672706989368,0,1040.5061812548645,5438.178888244232
77023,0,6694.641533561331,0,0,6694.641533561331
77024,0,11743.228711249323,0,1757.1180076835512,13500.346718932877
77025,0,10362.89168288492,0,6948.950365734223,17311.842048619143
77026,0,19155.173465414104,0,1451.3807923764691,20606.554257790573
77027,0,15923.503380470473,0,319.635745859864,16243.139126330336
77029,0,6698.147502913596,0,0,6698.147502913596
77030,0,11120.45528602935,0,0,11120.45528602935
