Code;Libellé;"Prélèvements en eau douce selon les usages 2017__
Alimentation des canaux de navigation";"Consommation annuelle d’électricité et gaz par secteur d'activité 2017__
Total";"Consommation annuelle d’électricité et gaz par secteur d'activité 2017__
Résidentiel";"Consommation annuelle d’électricité et gaz par secteur d'activité 2017__
Industrie";"Consommation annuelle d’électricité et gaz par secteur d'activité 2017__
Tertiaire";"Consommation annuelle d’électricité et gaz par secteur d'activité 2017__
Agriculture";"Consommation annuelle d’électricité et gaz par secteur d'activité 2017__
Inconnu";"Consommation annuelle d’électricité et gaz par filière 2017__
Total";"Consommation annuelle d’électricité et gaz par filière 2017__
Gaz";"Consommation annuelle d’électricité et gaz par filière 2017__
Électricité";"Production électrique annuelle par filière du réseau géré par Enedis 2017__
Totale";"Production électrique annuelle par filière du réseau géré par Enedis 2017__
Photovoltaïque";"Production électrique annuelle par filière du réseau géré par Enedis 2017__
Éolien";"Production électrique annuelle par filière du réseau géré par Enedis 2017__
Hydraulique";"Prélèvements en eau douce selon les usages 2017__
Volume total des prélèvements";"Prélèvements en eau douce selon les usages 2017__
Refroidissement des centrales électriques";"Prélèvements en eau douce selon les usages 2017__
Production d'eau potable";"Prélèvements en eau douce selon les usages 2017__
Irrigation";"Prélèvements en eau douce selon les usages 2017__
Industrie et autres activités économiques";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Tertiaire";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Total";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Agriculture";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Autres transports";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Déchets";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Energie";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Industrie hors énergie";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Résidentiel";"Emissions de gaz à effet de serre hors puits (PRG), par secteur 2021__
Routier"
75056;Paris;NA;24144465;13905988;514882;9021207;7377;695011;24144465;9934080;14210385;18875;2085;0;0;131009226;NA;14157;NA;130995069;1429210;4698688;95;21551;32858;45786;617450;1637542;914197
77001;Achères-la-Forêt;NA;7115;6199;NA;915;0;NA;7115;NA;7115;10;10;0;0;110143;NA;110143;NA;NA;218;12104;719;0;0;0;44;563;10561
77002;Amillis;NA;8019;4679;1489;1821;31;NA;8019;2342;5677;0;0;0;0;369952;NA;345276;24676;NA;342;6303;1548;0;1;0;190;594;3629
77003;Amponville;NA;1832;1665;167;NA;NA;NA;1832;NA;1832;0;0;0;0;36547;NA;27477;NA;9070;57;3155;758;42;0;0;45;160;2093
77004;Andrezel;NA;2270;1320;879;NA;71;NA;2270;NA;2270;0;0;0;0;520;NA;NA;NA;520;50;2010;618;0;0;7;58;138;1139
77005;Annet-sur-Marne;NA;43488;21984;132;21372;NA;NA;43488;12582;30906;35;35;0;0;35491320;NA;35491320;NA;NA;1448;8246;218;209;7;0;286;3034;3044
77006;Arbonne-la-Forêt;NA;9142;7354;NA;1789;NA;NA;9142;3685;5457;0;0;0;0;12537;NA;NA;12537;NA;370;15668;199;0;3;46;113;974;13962
77007;Argentières;NA;1546;1500;NA;27;20;NA;1546;NA;1546;NA;NA;NA;NA;NA;NA;NA;NA;NA;59;819;43;0;1;0;26;162;527
77008;Armentières-en-Brie;NA;6252;6115;NA;58;78;NA;6252;2675;3577;131;131;0;0;85414;NA;43819;41595;NA;284;2837;257;176;3;0;0;918;1198
77009;Arville;NA;957;657;62;20;219;NA;957;NA;957;20976;0;20976;0;215323;NA;24100;191223;NA;25;2401;935;0;0;0;11;58;1371
77010;Aubepierre-Ozouer-le-Repos;NA;754562;4095;750015;400;53;NA;754562;675027;79535;41;41;0;0;534716;NA;NA;32340;502376;170;9848;1806;147;1;0;2669;414;4642
